business_id,train_interaction_count
-5Rah4ZvWsDu4oilUZxhtw,351
-ATiAtTikuGuqvaW2O6tNA,566
-Bhoyo7LL97tgt9Hze0Saw,16
-CRjqZ4GxZ6lIa_qMj7-yw,55
-IOWVdmqsfd02_G-nJACdQ,53
-NFHQ0ePNYu6SrwekdhcBw,10
-Rn6U-ySYo_Lx9vCgDSooA,23
-SgBPXjleGQqruChlFE03w,13
-Yy3mwrGPJ7GOUwZc7WU_g,65
-cEFKAznWmI0cledNOIQ7w,1088
-dVBeSZxtxpHQ3XdL4E4bQ,155
-nIXhxPvxST6bTuj9jo1UQ,166
-n_beuzQuajaezPD2PyQvA,14
-nh_MbLmAURKEtHV4qpN3A,23
-qWhas31o61V6vC6yo6NWw,30
-rDhWLQJ28L2ttkaftdZNQ,73
-rwfGlw6T5czqQO4uZGWYw,79
-wlmZ-b35UJ-GY-59NDxyw,146
-xgmh7w82mp61c9ZGYEi5A,12
02qFLwwFi8T804rHcYh7Zw,152
0AthhX_KRegsRZ1YyWBB0A,9
0CPhgQAtXvxsmyFNJah16w,167
0F2jyiUdl8CSKQeR1KwVig,51
0JPi9cyV9i3_kDPj049_qQ,89
0JoB3ThhI-DS78-1Ks1EUQ,98
0NZkEpA4VeOy7b56KYGx_Q,38
0N_HQ2GsT1zNKX-escN2ZQ,51
0OtQaTauMzH0JM-NwJdXdw,21
0RO4HyAgoCOqbKqkspoGNg,14
0a8t_Th0jtWUMmtq0q2dqA,29
0ak-7uV9Nb7nF_l-mMCysA,215
0dWrbjWlPDBq3WpDq_bCxQ,133
0pamUcfn0SXbuj79Y_tRiw,50
13HH552okR9DsjANReVeFQ,311
15lTva4TjdKvCoer9JMKSg,10
16cCF9_aaDxIa1hO3gybKw,81
18kkPUHXsYj9qfMtiLlgJw,11
1F_lKVOdC8UN-5UOQ-FSGA,29
1FeB0RbAz9kdoZsTf05arw,15
1LUZupYFJ6CxSKU37qDSXw,531
1TMkNxmaJuMCZh1osxizPA,209
1UKBAgYxI9Qax3AA4ULw_w,26
1eCw55QfY-1c7n7wtgf93A,20
1el_4ywdqa2lIsI1YPEbsg,27
1fGaY2WlGv2l4as6UkMFrg,194
1gORtnWyZrRc0kPG1-EeWw,29
1ns2MWIrvR3p2-OgKpt0qQ,37
1r9Be3uySySGhQ7ecGMfdg,28
22uHGWZ2WkhvmZDVBGcdEQ,12
26g6EO9eqWVsA92yomXKpw,24
27wPl0IBJPPHkCNPzXDmnA,12
28W1WtQCD5X9GxR6A7q8gA,31
2CDI713ATuxHfnB5b-sBdw,1407
2JELyyb4MdGtrVIWD5mpfQ,41
2Wmvi5-7LS1iw5UkOuLWlw,69
2YYN4j68YD8S8PsygtJaQA,197
2ZSnGlqj8JOWcN2bNf-3SQ,248
